Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,4.5,4.5,Hai phương pháp gần nhau.
cross-doc,Faithfulness,4.5,5.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,4.5,4.5,Hai phương pháp gần nhau.
cross-doc,Latency (s),1.474,2.67,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,651.0,757.0,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),0.868,1.598,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,551.5,472.5,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),1.006,0.858,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,641.0,533.0,GraphRAG không đắt hơn trong sample này.
